weight_label,a0p8_b0p05_g0p3,a0p8_b0p05_g0p5,a0p8_b0p05_g0p7,a0p8_b0p1_g0p3,a0p8_b0p1_g0p5,a0p8_b0p1_g0p7,a0p8_b0p2_g0p3,a0p8_b0p2_g0p5,a0p8_b0p2_g0p7,a1_b0p05_g0p3,a1_b0p05_g0p5,a1_b0p05_g0p7,a1_b0p1_g0p3,a1_b0p1_g0p5,a1_b0p1_g0p7,a1_b0p2_g0p3,a1_b0p2_g0p5,a1_b0p2_g0p7,a1p2_b0p05_g0p3,a1p2_b0p05_g0p5,a1p2_b0p05_g0p7,a1p2_b0p1_g0p3,a1p2_b0p1_g0p5,a1p2_b0p1_g0p7,a1p2_b0p2_g0p3,a1p2_b0p2_g0p5,a1p2_b0p2_g0p7
a0p8_b0p05_g0p3,1.000000,0.994792,0.969543,1.000000,0.994792,0.969543,0.997396,0.994792,0.969543,1.000000,0.997396,0.994792,1.000000,0.997396,0.994792,1.000000,0.997396,0.994792,1.000000,1.000000,0.994792,1.000000,1.000000,0.994792,1.000000,0.997396,0.994792
a0p8_b0p05_g0p5,0.994792,1.000000,0.974555,0.994792,1.000000,0.974555,0.997396,1.000000,0.974555,0.994792,0.997396,1.000000,0.994792,0.997396,1.000000,0.994792,0.997396,1.000000,0.994792,0.994792,1.000000,0.994792,0.994792,1.000000,0.994792,0.997396,1.000000
a0p8_b0p05_g0p7,0.969543,0.974555,1.000000,0.969543,0.974555,1.000000,0.972081,0.974555,1.000000,0.969543,0.972081,0.974555,0.969543,0.972081,0.974555,0.969543,0.972081,0.974555,0.969543,0.969543,0.974555,0.969543,0.969543,0.974555,0.969543,0.972081,0.974555
a0p8_b0p1_g0p3,1.000000,0.994792,0.969543,1.000000,0.994792,0.969543,0.997396,0.994792,0.969543,1.000000,0.997396,0.994792,1.000000,0.997396,0.994792,1.000000,0.997396,0.994792,1.000000,1.000000,0.994792,1.000000,1.000000,0.994792,1.000000,0.997396,0.994792
a0p8_b0p1_g0p5,0.994792,1.000000,0.974555,0.994792,1.000000,0.974555,0.997396,1.000000,0.974555,0.994792,0.997396,1.000000,0.994792,0.997396,1.000000,0.994792,0.997396,1.000000,0.994792,0.994792,1.000000,0.994792,0.994792,1.000000,0.994792,0.997396,1.000000
a0p8_b0p1_g0p7,0.969543,0.974555,1.000000,0.969543,0.974555,1.000000,0.972081,0.974555,1.000000,0.969543,0.972081,0.974555,0.969543,0.972081,0.974555,0.969543,0.972081,0.974555,0.969543,0.969543,0.974555,0.969543,0.969543,0.974555,0.969543,0.972081,0.974555
a0p8_b0p2_g0p3,0.997396,0.997396,0.972081,0.997396,0.997396,0.972081,1.000000,0.997396,0.972081,0.997396,1.000000,0.997396,0.997396,1.000000,0.997396,0.997396,1.000000,0.997396,0.997396,0.997396,0.997396,0.997396,0.997396,0.997396,0.997396,1.000000,0.997396
a0p8_b0p2_g0p5,0.994792,1.000000,0.974555,0.994792,1.000000,0.974555,0.997396,1.000000,0.974555,0.994792,0.997396,1.000000,0.994792,0.997396,1.000000,0.994792,0.997396,1.000000,0.994792,0.994792,1.000000,0.994792,0.994792,1.000000,0.994792,0.997396,1.000000
a0p8_b0p2_g0p7,0.969543,0.974555,1.000000,0.969543,0.974555,1.000000,0.972081,0.974555,1.000000,0.969543,0.972081,0.974555,0.969543,0.972081,0.974555,0.969543,0.972081,0.974555,0.969543,0.969543,0.974555,0.969543,0.969543,0.974555,0.969543,0.972081,0.974555
a1_b0p05_g0p3,1.000000,0.994792,0.969543,1.000000,0.994792,0.969543,0.997396,0.994792,0.969543,1.000000,0.997396,0.994792,1.000000,0.997396,0.994792,1.000000,0.997396,0.994792,1.000000,1.000000,0.994792,1.000000,1.000000,0.994792,1.000000,0.997396,0.994792
a1_b0p05_g0p5,0.997396,0.997396,0.972081,0.997396,0.997396,0.972081,1.000000,0.997396,0.972081,0.997396,1.000000,0.997396,0.997396,1.000000,0.997396,0.997396,1.000000,0.997396,0.997396,0.997396,0.997396,0.997396,0.997396,0.997396,0.997396,1.000000,0.997396
