smiles,sa_score,sim_source,sim_target,comp_score,path_id
CC1=C(O)C=CC=C1O,3.5547,9.72,9.28,13.78,1
CC1=CC=C(O)C(C)=C1,3.4566,14.71,9.38,16.38,1
CC1=CC=C(C)C(O)=C1,3.5213,14.71,10.53,17.53,2
CC1=CC=CC(C)=C1O,3.3674,16.18,12.77,20.52,3
CC1=CC=CC(CO)=C1O,3.5301,15.28,12.24,19.53,3
C=CC1=C(O)C(C)=CC=C1,3.7298,15.07,12.12,19.28,4
CC1=CC(C)=C(O)C(C)=C1,3.1815,18.18,10.53,19.30,5
CC1=C(O)C(C)=C(O)C=C1,3.5399,11.43,9.38,14.74,6
CC1=CC=C(C)C(O)=C1C,3.3588,13.43,10.75,17.13,7
CC1=CC(C)=C(C)C=C1O,3.5583,13.43,8.42,14.78,2
C=CC1=CC=C(C)C(O)=C1,3.9596,12.16,10.00,15.69,8
CC1=CC(O)=C(C)C(O)=C1,3.5043,13.04,8.25,14.42,9
CC1=CC=C(CO)C=C1O,3.7479,13.89,10.10,16.67,10
CC1=CC(C=O)=CC=C1O,3.9368,13.89,11.22,17.78,1
CCC1=CC=C(O)C(C)=C1,3.6081,15.49,9.00,16.39,12
CC1=CC=C(O)C(C)=C1O,3.4870,13.04,10.53,16.70,13
COC1=C(C)C(O)=CC=C1,3.3309,10.67,11.11,16.11,17
CC1=C(O)C=CC(CO)=C1O,3.6781,10.81,7.92,12.96,3
C=C(O)C1=C(O)C(C)=CC=C1,3.6897,15.07,11.00,18.17,19
CC1=CC(CO)=C(O)C(C)=C1,3.3984,17.14,9.00,17.23,20
CC1=CC=C(C)C(CO)=C1O,3.4781,14.29,9.18,15.98,21
CC1=CC(C=O)=CC(C)=C1O,3.7044,15.49,12.37,19.75,22
C=CC1=C(O)C(C)=CC(C)=C1,3.6261,16.90,10.00,18.09,23
CCC1=CC(C)=C(O)C(C)=C1,3.4257,17.14,10.10,18.33,24
CC1=CC(C)=C(O)C(C)=C1O,3.3615,14.71,10.53,17.54,25
CC1=CC(C)=C(C)C(C)=C1O,3.3022,14.71,10.53,17.55,26
CC=CC1=C(O)C(C)=CC=C1,3.5975,14.86,12.00,19.07,33
CC1=CC=CC(C=CN)=C1O,3.9051,13.16,11.88,18.07,34
C=CC1=C(O)C(C)=C(O)C=C1,3.9317,10.67,8.91,13.85,35
C=CC1=C(O)C(C)=CC=C1C,3.6477,12.50,11.34,17.23,36
